title,department,city,property_type,latitude,longitude,surface_total,surface_covered,bedrooms,bathrooms,operation_type,price
Apartamento En Arriendo/venta En Barranquilla Villa Santos Cod. VARE83401,Atlántico,Barranquilla,Apartamento,11.013,-74.836,70.0,70.0,1.0,2.0,Venta,250000000.0
Casa En Venta En Cali Ciudad Jardn Cod. VVLZ3039,Valle del Cauca,Cali,Casa,3.368,-76.531,420.0,420.0,5.0,5.0,Venta,950000000.0
Casa En Arriendo/venta En Barranquilla Bellavista Cod. VFNC10498,Atlántico,Barranquilla,Casa,10.997,-74.791,83.0,150.0,3.0,3.0,Venta,320000000.0
Casa En Arriendo En Chia Chia Cod. AINH2992,Cundinamarca,Chía,Casa,4.845,-74.057,580.0,2.0,8.0,3.0,Arriendo,8000000.0
Apartamento En Arriendo En Cali Ciudad Crdoba Cod. AODH878,Valle del Cauca,Cali,Apartamento,3.402,-76.507,56.0,56.0,3.0,1.0,Arriendo,550000.0
Apartamento En Venta En Bogota Pasadena Cod. VMIS1048039,Cundinamarca,Bogotá D.C,Apartamento,4.69,-74.06,97.0,97.0,3.0,4.0,Venta,375000000.0
Apartamento En Arriendo/venta En Bogota Maria Cristina Cod. ABKS1945,Cundinamarca,Bogotá D.C,Apartamento,4.648,-74.058,70.0,70.0,2.0,2.0,Arriendo,2200000.0
Apartamento En Venta En Bogota El Contador-Usaqun Cod. VITEK3320,Cundinamarca,Bogotá D.C,Apartamento,4.719,-74.043,129.0,129.0,3.0,3.0,Venta,550000000.0
Casa En Arriendo/venta En Cali Cascajal Corregimiento El Hormiguero Alto Maraon Cod. AJMI6360,Valle del Cauca,Cali,Casa,3.261,-76.545,2000.0,430.0,4.0,5.0,Arriendo,3500000.0
Casa En Venta En Sopo Sopo Cod. VREI18080,Cundinamarca,Sopó,Casa,4.908,-73.94,1457.0,380.0,3.0,5.0,Venta,1730000000.0
Apartamento En Venta En Rionegro Vereda Ojo De Agua Cod. VAYH3595,Antioquia,Rionegro,Apartamento,6.149,-75.372,7604.0,72.0,3.0,2.0,Venta,345000000.0
Casa En Arriendo/venta En Barranquilla Caujaral Cod. AREI-16605,Atlántico,Barranquilla,Casa,11.005,-74.815,1326.0,1050.0,4.0,6.0,Arriendo,25000000.0
